LastName, FirstName, tid, RMPScore, RMPNumRatings
Tafoya, Joe, 2234243, 4.8, 22
Perutz, Timothy, 2049931, 3.5, 22
Phillips, Stephen, 471202, 3.1, 22
Greene, Kenneth, 1422116, 4.0, 22
Reese, Steve, 627902, 3.3, 22
Raley Woodward, Nathaniel, 2315291, 4.8, 22
McCutchin, Matt, 2224000, 4.4, 22
Blondeau, Lauren, 2134548, 4.7, 22
Palmo, Nina, 2257750, 4.0, 22
Forgie, George, 1023968, 4.5, 22
Mallin, Eric, 411771, 4.0, 22
Keto, John, 134261, 2.4, 22
Bierner, Mark, 264776, 4.0, 21
Warr, Eric, 555847, 4.8, 21
Sessler, Jonathan, 608290, 3.0, 21
Myers, Maggie, 765146, 3.3, 21
Sneden, Chris, 1659464, 2.7, 21
Blackshire, Scott, 2134637, 2.8, 21
Barnes, Jaime, 1656870, 4.3, 21
Mendoza, Ramon, 2277119, 4.8, 21
Helmer, Jeff, 145890, 4.5, 21
Rodin, Gregory, 1708923, 2.8, 21
De Angulo Sorian, Alejandra, 2328280, 4.3, 21
Hoffman, David, 1584005, 4.7, 21
Hoad, Neville, 1611558, 4.4, 21
Davis, Janet, 1893076, 4.3, 21
Budziszewski, J, 154531, 2.9, 21
Czimskey, Natalie, 2252877, 5.0, 21
Bank, Seth, 1051024, 4.1, 21
Anslyn, Eric, 746299, 4.4, 21
Woodruff, Paul, or-9449, 4.6, 20
Bell, Chris, 600013, 3.4, 20
Bernstein, Mark, 825452, 4.3, 20
Workman, Samuel, 1445948, 3.6, 20
Henderson, Linda, 1517080, 4.5, 20
Houghton, Stephanie, 1846845, 3.4, 20
Hancock, Tinisha, 2058159, 3.9, 20
Pudrovska, Tetyana, 2076102, 4.2, 20
Reed, Denne, 1767250, 3.8, 20
Lewis, Rebecca, 900644, 4.0, 20
Kaplan, Jonathan, 2129738, 4.6, 20
Regnerus, Mark, 2281218, 3.3, 20
Wellhausen, Rachel, 2036241, 4.0, 20
Quigley, Robert, 1977723, 4.8, 20
Wood, Billy, 1450168, 4.8, 20
Pollak, George, 910312, 4.0, 20
Rebhorn, Wayne, 389830, 3.1, 20
Falola, Toyin, r-94200, 2.8, 20
Dobias, Lisa, 1273476, 4.0, 20
Altuzar-Villafuerte, Laura, 2247086, 3.0, 20
England, Nora, 1121590, 4.1, 20
Qiao, Hong, 2228687, 4.4, 20
Ravi-Chandar, Krishnaswa, 1568059, 2.9, 20
Hsu, Madeline, 2144961, 1.8, 20
Dempsey, Erik, 1934968, 4.5, 20
Chatterjee, Siddhartha, 2547960, 4.0, 20
Samoylenko, Vladimir, 2512392, 4.4, 20
Brayne, Sarah, 2175673, 4.8, 20
Gaughen, Brendan, 2199774, 4.2, 20
Schurle, Arlo, 1086903, 4.0, 19
Harden, Kathryn, 1448337, 3.0, 19
Lamm, Jennifer, 1889482, 3.2, 19
Bull, James, 2062629, 4.2, 19
Wille, Stephen, 1946239, 2.8, 19
Holmsten, Stephanie, 1757066, 4.1, 19
Sager, Alan, 1484634, 3.8, 19
Sibley, David, 1472303, 3.9, 19
Sparrow, Bartholomew, 337041, 3.4, 19
Smith, Nicole, 2250445, 4.1, 19
Conley, Caryn, 2186401, 2.5, 19
Encheva, Tatiana, 1780498, 1.6, 19
Jessee, Stephen, 1415604, 3.0, 19
McClearen, Jennifer, 2307710, 4.2, 19
Cutbirth, Joe, 2244983, 4.1, 19
Tsoi, Maxim, 888611, 3.0, 19
Mann, Jennifer, 1795892, 4.0, 19
Tackett, Kathryn, 1916902, 4.7, 19
Buhler, James, 1865436, 3.3, 19
Smith, Jeffrey Chipps, 148617, 4.5, 19
Junker, David, 2039082, 4.3, 19
Dunn, Dennis, 2015187, 4.6, 19
Shapira, Harel, 1848263, 4.3, 19
Palaima, Thomas, 551545, 3.7, 19
Williams, Kevin, 2274465, 3.0, 19
Barany, Zoltan, 305217, 3.9, 19
Marshall, Susan, 111516, 2.0, 18
Swinnea, John, 397999, 4.3, 18
Perlman, Paula J., 747670, 3.3, 18
Stuart, David, 848725, 4.3, 18
Koen, Billy, 1010670, 4.1, 18
Stepp, Elizabeth, 1169940, 4.5, 18
Arledge, Jane, 1485968, 4.6, 18
Borden, Erika, 1569405, 3.6, 18
Florin, Ernst-Ludwig, 1567034, 3.2, 18
Bodian, Marion, 1197558, 2.8, 18
Spellberg, Denise, 305220, 4.4, 18
Markert, Christina, 1169518, 2.8, 18
Harper, Shinko, 272971, 4.0, 18
Landis, Chad, 1531241, 4.3, 18
Gordon, Vernita, 1755356, 2.5, 18
Biow, Douglas, 1802657, 4.5, 18
Ferreira-Buckley, Linda, 1871557, 3.3, 18
Quinto-pozos, David, 1926431, 3.7, 18
Osbakken, Stephanie, 2100216, 4.5, 18
Dominguez, Juan, 1175701, 4.2, 18
Pryor, Dan, 2180948, 4.2, 18
Beck, Deborah, 1441857, 3.9, 18
Hansen, Katie, 1936521, 2.4, 18
Peterson, Bill, 1139605, 4.1, 18
Muenks, Katie, 2405814, 2.8, 18
Markert, John, 671246, 4.7, 18
Beevers, Christopher, 622217, 4.4, 18
Traphagan, John, 648384, 2.5, 18
Lucero, Amarante, 666517, 2.7, 17
Long, Leon, 691780, 3.9, 17
Spice, Anna, 1800913, 3.9, 17
Palmer, Gregory, 1917349, 4.8, 17
Schmidt, Benjamin, 2289659, 4.9, 17
Lewis, Robert, 1787585, 4.3, 17
Doolittle, William, or-8491, 4.8, 17
Shapiro, Liza, 677038, 3.8, 17
Fitzpatrick, Richard, 1035306, 2.7, 17
Buckley, Tom, 658679, 4.8, 17
Baranova, Zuzana, 2299892, 3.5, 17
Chan, Clarence, 1962392, 3.2, 17
Rivera, Sandra, 2534871, 2.5, 17
Schleppe, Beatriz, 881728, 4.7, 17
MacDonald, Paul, 2215480, 2.0, 17
Jeon, Jiwon, 1618002, 2.9, 17
Faria, Caroline, 1984848, 4.3, 17
Yeazell, John, 2034817, 3.9, 17
Israni, Anita, 2278477, 4.7, 17
De Lozanne, Alejandro, 856102, 2.5, 17
Bsumek, Erika, 474271, 4.2, 17
Wade, Mariah, 2000841, 2.5, 17
Gordon, Edmund, 701660, 3.8, 17
Epp, Derek, 2317711, 3.8, 17
Aghaie, Kamran, 259564, 2.9, 17
Prilipko, Eve, 2538994, 5.0, 17
John, Chand, 2458846, 4.2, 17
Fjetland, Conrad, 2347683, 3.7, 17
Brandl, Michael, 138826, 4.0, 16
Sussman, Harvey, 239741, 4.1, 16
Loving, Timothy, 779492, 4.3, 16
Lesser, Wayne, 876350, 3.3, 16
Rodin, Altha, 904339, 4.5, 16
Siegel, Dionicio, 1163284, 4.6, 16
Chen, Thomas, 1178148, 4.3, 16
Cicchirillo, Vincent, 1579064, 4.3, 16
Kumar, Pawan, 1834379, 3.5, 16
Tran, Giang, 2059337, 2.5, 16
Oettinger, Gerald, 1960880, 4.5, 16
Stauffer, Devin, 819740, 4.9, 16
Covey, Alan, 2082407, 2.8, 16
Casey, Julie, 1961761, 4.3, 16
Atkinson, Lucinda, 1526501, 4.2, 16
Philpot, Tasha, 2130839, 2.5, 16
White, Michael, 667599, 4.3, 16
Breecker, Dan, 1350878, 4.0, 16
Yao, Zhen, 1278075, 4.3, 16
Brownlee, Jason, 1968500, 4.3, 16
Higgins, Kathleen, 2104193, 4.4, 16
Josephs, Robert, 2017873, 3.0, 16
Cavanagh, Shannon, 2254427, 4.4, 16
Raffa, Guy, 2151337, 4.4, 16
Hong, Kyong, 2179093, 4.0, 16
Chen, Zengjian, 2263875, 3.9, 16
Buss, David, 666866, 4.3, 16
Holladay, Joan, 148607, 4.0, 15
Doughty, Robin, 412687, 2.8, 15
Kaulbach, Ernest, 474136, 3.5, 15
Spivey, Jim, 551550, 4.4, 15
Luecke, John, 758701, 3.7, 15
Spiro, Ellen, 878038, 5.0, 15
Duncan, Catherine, 1714601, 2.0, 15
Colomina-Alminana, Juan, 1807806, 3.0, 15
Vong, Sam, 2036227, 3.8, 15
Bohnsack, Alisha, 2058088, 3.8, 15
Herrin, David, 2123706, 2.3, 15
Beshaj, Lubjana, 2167711, 3.9, 15
Kunze, Pete, 2246011, 4.9, 15
Parme, Kevin, 2248298, 3.9, 15
Canizares-Esguerra, Jorge, 975214, 3.9, 15
Tanaka, Midori, 902940, 4.3, 15
Miller, Aragorn, 1978020, 3.3, 15
Hall, Matthew, 2083575, 4.6, 15
Poloskey, Mary Lou, 1278696, 2.5, 15
Perez, Domino, 2021035, 4.0, 15
Lai, Chiu-Mi, 2177501, 4.2, 15
Flaherty, George, 1761528, 4.3, 15
Hartigan, John, 2218647, 3.4, 15
WANG, MAY, 2213474, 1.3, 15
Quintanilla, David, 2386068, 4.6, 15
Pelletier, Heather, 1899694, 4.5, 15
Stokoe, Kenneth, 1968795, 3.2, 15
MacLachlan, Patricia, 1999136, 4.4, 15
Darling, Dennis, 1463198, 3.8, 15
Walker, Juliet, 673974, 2.3, 15
Valvano, Jonathan, 876849, 3.5, 15
Leiter, Brian, 358285, 3.2, 14
Miller, Karl, 390768, 4.6, 14
Stanton, John, 413063, 4.4, 14
Restad, Penne, 719548, 4.5, 14
Mehedy, Mona, 739526, 2.5, 14
